PROFIL,R51 Breite,R52 Stärke,R60,R61,R20,R40,R41,,,
PR_001,3,0.8,0.00,3.57, ,0.40,0.23,,,
PR_001,3,0.9,0.00,3.22, ,0.40,0.31,,,
PR_001,3,1.0,0.00,2.93, ,0.40,0.39,,,
PR_001,3,1.1,0.00,2.71, ,0.40,0.47,,,
PR_001,3,1.2,0.00,2.52, ,0.40,0.55,,,
PR_001,3,1.3,0.00,2.37, ,0.40,0.63,,,
PR_001,3,1.4,0.00,2.24, ,0.40,0.71,,,
PR_001,3,1.5,0.00,2.13, ,0.40,0.79,,,
PR_001,3,1.6,0.00,2.03, ,0.40,0.87,,,
PR_001,3,1.7,0.00,1.95, ,0.40,0.95,,,
PR_001,3,1.8,0.00,1.89, ,0.40,1.03,,,
PR_001,3,1.9,0.00,1.83, ,0.40,1.11,,,
PR_001,3,2.0,0.00,1.78, ,0.40,1.19,,,
PR_001,3,2.1,0.00,1.73, ,0.40,1.27,,,
PR_001,3,2.2,0.00,1.69, ,0.40,1.35,,,
PR_001,3,2.3,0.00,1.66, ,0.40,1.43,,,
PR_001,3,2.4,0.00,1.63, ,0.40,1.50,,,
PR_001,3,2.5,0.00,1.61, ,0.40,1.58,,,
PR_001,3,2.6,0.00,1.59, ,0.40,1.66,,,
PR_001,3,2.7,0.00,1.57, ,0.40,1.74,,,
PR_001,3,2.8,0.00,1.55, ,0.40,1.82,,,
PR_001,3,2.9,0.00,1.54, ,0.40,1.90,,,
PR_001,3,3.0,0.00,1.53, ,0.40,1.98,,,
PR_001,3,3.1,0.00,1.52, ,0.40,2.06,,,
PR_001,3.5,0.8,0.00,4.80, ,0.40,0.23,,,
PR_001,3.5,0.9,0.00,4.31, ,0.40,0.31,,,
PR_001,3.5,1.0,0.00,3.92, ,0.40,0.39,,,
PR_001,3.5,1.1,0.00,3.60, ,0.40,0.47,,,
PR_001,3.5,1.2,0.00,3.34, ,0.40,0.55,,,
PR_001,3.5,1.3,0.00,3.12, ,0.40,0.63,,,
PR_001,3.5,1.4,0.00,2.94, ,0.40,0.71,,,
PR_001,3.5,1.5,0.00,2.78, ,0.40,0.79,,,
PR_001,3.5,1.6,0.00,2.65, ,0.40,0.87,,,
PR_001,3.5,1.7,0.00,2.53, ,0.40,0.95,,,
PR_001,3.5,1.8,0.00,2.43, ,0.40,1.03,,,
PR_001,3.5,1.9,0.00,2.35, ,0.40,1.11,,,
PR_001,3.5,2.0,0.00,2.27, ,0.40,1.19,,,
PR_001,3.5,2.1,0.00,2.20, ,0.40,1.27,,,
PR_001,3.5,2.2,0.00,2.14, ,0.40,1.35,,,
PR_001,3.5,2.3,0.00,2.09, ,0.40,1.43,,,
PR_001,3.5,2.4,0.00,2.04, ,0.40,1.50,,,
PR_001,3.5,2.5,0.00,2.00, ,0.40,1.58,,,
PR_001,3.5,2.6,0.00,1.96, ,0.40,1.66,,,
PR_001,3.5,2.7,0.00,1.93, ,0.40,1.74,,,
PR_001,3.5,2.8,0.00,1.90, ,0.40,1.82,,,
PR_001,3.5,2.9,0.00,1.88, ,0.40,1.90,,,
PR_001,3.5,3.0,0.00,1.86, ,0.40,1.98,,,
PR_001,3.5,3.1,0.00,1.84, ,0.40,2.06,,,
PR_001,4,0.8,0.00,6.22, ,0.40,0.23,,,
PR_001,4,0.9,0.00,5.57, ,0.45,0.26,,,
PR_001,4,1.0,0.00,5.05, ,0.50,0.29,,,
PR_001,4,1.1,0.00,4.63, ,0.50,0.37,,,
PR_001,4,1.2,0.00,4.29, ,0.50,0.45,,,
PR_001,4,1.3,0.00,4.00, ,0.50,0.53,,,
PR_001,4,1.4,0.00,3.75, ,0.50,0.61,,,
PR_001,4,1.5,0.00,3.54, ,0.50,0.69,,,
PR_001,4,1.6,0.00,3.36, ,0.50,0.77,,,
PR_001,4,1.7,0.00,3.20, ,0.50,0.85,,,
PR_001,4,1.8,0.00,3.06, ,0.50,0.93,,,
PR_001,4,1.9,0.00,2.94, ,0.50,1.01,,,
PR_001,4,2.0,0.00,2.84, ,0.50,1.09,,,
PR_001,4,2.1,0.00,2.74, ,0.50,1.17,,,
PR_001,4,2.2,0.00,2.66, ,0.50,1.25,,,
PR_001,4,2.3,0.00,2.58, ,0.50,1.33,,,
PR_001,4,2.4,0.00,2.52, ,0.50,1.40,,,
PR_001,4,2.5,0.00,2.45, ,0.50,1.48,,,
PR_001,4,2.6,0.00,2.40, ,0.50,1.56,,,
PR_001,4,2.7,0.00,2.35, ,0.50,1.64,,,
PR_001,4,2.8,0.00,2.31, ,0.50,1.72,,,
PR_001,4,2.9,0.00,2.27, ,0.50,1.80,,,
PR_001,4,3.0,0.00,2.23, ,0.50,1.88,,,
PR_001,4,3.1,0.00,2.20, ,0.50,1.96,,,
PR_001,4.5,0.8,0.00,7.83, ,0.40,0.23,,,
PR_001,4.5,0.9,0.00,7.00, ,0.45,0.26,,,
PR_001,4.5,1.0,0.00,6.34, ,0.50,0.29,,,
PR_001,4.5,1.1,0.00,5.80, ,0.50,0.37,,,
PR_001,4.5,1.2,0.00,5.36, ,0.50,0.45,,,
PR_001,4.5,1.3,0.00,4.99, ,0.50,0.53,,,
PR_001,4.5,1.4,0.00,4.67, ,0.50,0.61,,,
PR_001,4.5,1.5,0.00,4.40, ,0.50,0.69,,,
PR_001,4.5,1.6,0.00,4.16, ,0.50,0.77,,,
PR_001,4.5,1.7,0.00,3.96, ,0.50,0.85,,,
PR_001,4.5,1.8,0.00,3.78, ,0.50,0.93,,,
PR_001,4.5,1.9,0.00,3.62, ,0.50,1.01,,,
PR_001,4.5,2.0,0.00,3.48, ,0.50,1.09,,,
PR_001,4.5,2.1,0.00,3.35, ,0.50,1.17,,,
PR_001,4.5,2.2,0.00,3.24, ,0.50,1.25,,,
PR_001,4.5,2.3,0.00,3.14, ,0.50,1.33,,,
PR_001,4.5,2.4,0.00,3.05, ,0.50,1.40,,,
PR_001,4.5,2.5,0.00,2.97, ,0.50,1.48,,,
PR_001,4.5,2.6,0.00,2.90, ,0.50,1.56,,,
PR_001,4.5,2.7,0.00,2.83, ,0.50,1.64,,,
PR_001,4.5,2.8,0.00,2.77, ,0.50,1.72,,,
PR_001,4.5,2.9,0.00,2.71, ,0.50,1.80,,,
PR_001,4.5,3.0,0.00,2.66, ,0.50,1.88,,,
PR_001,4.5,3.1,0.00,2.62, ,0.50,1.96,,,
PR_001,5,0.8,0.00,9.63, ,0.40,0.23,,,
PR_001,5,0.9,0.00,8.60, ,0.45,0.26,,,
PR_001,5,1.0,0.00,7.78, ,0.50,0.29,,,
PR_001,5,1.1,0.00,7.11, ,0.55,0.32,,,
PR_001,5,1.2,0.00,6.56, ,0.60,0.35,,,
PR_001,5,1.3,0.00,6.10, ,0.60,0.43,,,
PR_001,5,1.4,0.00,5.70, ,0.60,0.51,,,
PR_001,5,1.5,0.00,5.36, ,0.60,0.59,,,
PR_001,5,1.6,0.00,5.06, ,0.60,0.67,,,
PR_001,5,1.7,0.00,4.81, ,0.60,0.75,,,
PR_001,5,1.8,0.00,4.58, ,0.60,0.83,,,
PR_001,5,1.9,0.00,4.38, ,0.60,0.91,,,
PR_001,5,2.0,0.00,4.20, ,0.60,0.99,,,
PR_001,5,2.1,0.00,4.04, ,0.60,1.07,,,
PR_001,5,2.2,0.00,3.90, ,0.60,1.15,,,
PR_001,5,2.3,0.00,3.77, ,0.60,1.23,,,
PR_001,5,2.4,0.00,3.65, ,0.60,1.30,,,
PR_001,5,2.5,0.00,3.55, ,0.60,1.38,,,
PR_001,5,2.6,0.00,3.45, ,0.60,1.46,,,
PR_001,5,2.7,0.00,3.36, ,0.60,1.54,,,
PR_001,5,2.8,0.00,3.28, ,0.60,1.62,,,
PR_001,5,2.9,0.00,3.21, ,0.60,1.70,,,
PR_001,5,3.0,0.00,3.14, ,0.60,1.78,,,
PR_001,5,3.1,0.00,3.08, ,0.60,1.86,,,
PR_001,5.5,0.8,0.00,11.62, ,0.40,0.23,,,
PR_001,5.5,0.9,0.00,10.37, ,0.45,0.26,,,
PR_001,5.5,1.0,0.00,9.37, ,0.50,0.29,,,
PR_001,5.5,1.1,0.00,8.56, ,0.55,0.32,,,
PR_001,5.5,1.2,0.00,7.89, ,0.60,0.35,,,
PR_001,5.5,1.3,0.00,7.32, ,0.60,0.43,,,
PR_001,5.5,1.4,0.00,6.84, ,0.60,0.51,,,
PR_001,5.5,1.5,0.00,6.42, ,0.60,0.59,,,
PR_001,5.5,1.6,0.00,6.06, ,0.60,0.67,,,
PR_001,5.5,1.7,0.00,5.74, ,0.60,0.75,,,
PR_001,5.5,1.8,0.00,5.46, ,0.60,0.83,,,
PR_001,5.5,1.9,0.00,5.22, ,0.60,0.91,,,
PR_001,5.5,2.0,0.00,5.00, ,0.60,0.99,,,
PR_001,5.5,2.1,0.00,4.80, ,0.60,1.07,,,
